SPK_SPKC05a,SPK_SPKC05c,SPK_SPKC10b,SPK_SPKC10c,SPK_SPKC15a
3726.664,3741.6209,3719.44235,3801.355725,3810.797125
3727.077275,3742.250825,3719.515975,3801.490225,3811.022575
3727.570125,3742.287025,3719.568825,3801.543775,3811.061025
3727.946325,3742.35745,3719.61995,3801.6569,3811.16975
3728.14775,3742.62885,3719.668125,3801.809825,3811.85145
3728.31865,3742.770425,3719.750525,3802.024975,3811.954025
3729.746125,3743.15605,3719.7939,3802.422925,3812.068975
3730.3091,3745.199075,3719.838575,3802.582525,3812.14855
3730.496375,3748.45825,3719.862725,3802.886175,3812.5216
3731.170575,3748.590525,3719.947475,3803.17105,3812.667
3731.625125,3750.4148,3719.9848,3803.359625,3812.68295
3731.736925,3750.49835,3720.028925,3803.4184,3812.984875
3731.806875,3750.995575,3720.06325,3803.44555,3813.089925
3731.846775,3751.321175,3720.103425,3803.502875,3813.26365
3731.874,3751.380125,3720.151375,3803.60245,3813.939475
3731.91285,3751.47785,3720.2437,3803.648725,3814.0238
3732.150925,3751.57125,3720.2758,3803.75045,3814.22175
3732.2251,3751.580075,3720.340575,3803.8173,3814.6827
3732.25505,3751.680725,3720.408375,3804.042575,3815.18245
3732.31655,3752.038325,3720.460525,3804.0861,3815.4003
3732.34815,3752.128075,3720.543825,3804.1301,3816.9726
3732.41265,3752.22815,3720.576225,3804.135925,3817.08995
3732.4363,3752.29335,3720.637375,3804.15895,3817.17705
3732.5101,3752.353475,3720.707125,3804.193075,3819.187
3732.61595,3752.44745,3720.7633,3804.21755,3820.7632
3732.686825,3752.638575,3720.799775,3804.38145,3822.4174
3732.717425,3752.7198,3720.8315,3804.432175,3824.350625
3732.735475,3752.7737,3720.864,3804.481425,3824.37575
3732.811175,3752.887375,3720.87485,3804.5118,3824.424475
3732.83775,3752.921425,3720.899175,3804.51925,3824.4726
3732.84725,3752.96925,3720.92035,3804.53585,3825.15725
3732.8539,3753.13115,3720.937075,3804.544075,3825.273875
3732.8802,3753.24705,3720.977425,3804.557025,3825.3259
3732.9151,3753.29175,3720.99975,3804.63185,3825.35315
3732.925525,3753.327,3721.024875,3804.6638,3826.48285
3732.9634,3753.367125,3721.0682,3804.6768,3826.69725
3732.98785,3753.44125,3721.100575,3804.727,3827.248075
3732.999025,3753.54595,3721.134725,3804.73335,3827.43035
3733.032875,3753.63415,3721.16855,3804.771775,3827.61995
3733.066475,3753.6458,3721.202025,3804.788575,3827.702675
3733.076975,3753.75355,3721.22725,3804.81635,3827.76045
3733.0978,3753.9034,3721.26575,3804.8322,3827.82055
3733.1283,3754.14065,3721.30995,3804.91445,3828.086
3733.144275,3754.242225,3721.372075,3804.961725,3828.228425
3733.172975,3754.510425,3721.473325,3805.05775,3828.434625
3733.18105,3754.575675,3721.509725,3805.16625,3828.507025
3733.247275,3754.6442,3721.558375,3805.213125,3828.65105
