SPK_SPKC05a,SPK_SPKC05c,SPK_SPKC10b,SPK_SPKC10c,SPK_SPKC15a
3715.970075,3713.78305,3715.375225,3748.396875,3753.5186
3715.97485,3713.833475,3715.3858,3748.48915,3753.601375
3715.99515,3714.199375,3715.4155,3748.556375,3753.755425
3716.035025,3714.2937,3715.428975,3748.6545,3754.345825
3716.04135,3714.38025,3715.467,3748.78795,3754.4702
3716.11055,3714.487125,3715.481225,3750.424225,3755.398375
3716.1314,3714.626275,3715.517325,3750.44,3755.4446
3716.1662,3714.677575,3715.551225,3750.477225,3755.579375
3716.18475,3714.71975,3715.572875,3750.4973,3755.739175
3716.20265,3714.89255,3715.58145,3750.58115,3756.100325
3716.207525,3714.98125,3715.612,3750.677375,3756.15255
3716.23835,3714.9974,3715.62705,3750.775525,3756.20785
3716.2443,3715.1756,3715.646175,3750.949,3756.23715
3716.252125,3715.21815,3715.659,3751.013475,3756.28495
3716.2815,3715.254875,3715.693875,3751.06535,3756.3567
3716.3062,3715.33565,3715.712675,3751.249325,3756.448425
3716.34,3715.4658,3715.735125,3751.27995,3756.55195
3716.349475,3715.538625,3715.78015,3751.29645,3756.622875
3716.42295,3715.682675,3715.79825,3751.343175,3756.682375
3716.531875,3715.72525,3715.829425,3751.3663,3757.26035
3716.541375,3715.848525,3715.852325,3751.37885,3757.311625
3716.5974,3715.899825,3715.872825,3751.41225,3757.394475
3716.628175,3716.019175,3715.886225,3751.4292,3757.466025
3716.64095,3716.092675,3715.92945,3751.46875,3757.603225
3716.657325,3716.15635,3715.96775,3751.58,3757.654625
3716.68055,3716.30435,3715.978925,3751.773575,3757.910425
3716.72085,3716.385375,3716.003575,3751.8764,3758.597175
3716.769975,3716.4179,3716.01295,3752.35985,3758.961475
3716.95155,3716.465,3716.032375,3752.387875,3760.280725
3716.997325,3716.571075,3716.045225,3752.82355,3761.651025
3717.039875,3716.684975,3716.059375,3753.03695,3762.97585
3717.1213,3716.7092,3716.07175,3753.4425,3763.062725
3717.12545,3716.85355,3716.0839,3753.615225,3764.190775
3717.1654,3716.953275,3716.105075,3753.662225,3764.497575
3717.28475,3717.016925,3716.11435,3753.85125,3765.3306
3717.2954,3717.060125,3716.12425,3753.91905,3765.768225
3717.324825,3717.0761,3716.153425,3753.926275,3766.353725
3717.391025,3717.19715,3716.164475,3753.99215,3766.539175
3717.4068,3717.260775,3716.187775,3754.005125,3767.3078
3717.43125,3717.326825,3716.21275,3754.1418,3767.659425
3717.6046,3717.4995,3716.2212,3754.2594,3768.663
3717.608725,3717.5479,3716.23185,3754.416825,3769.095175
3717.65255,3717.6682,3716.248175,3754.545575,3769.770325
3717.704,3717.731725,3716.2563,3754.5863,3769.8109
3717.77165,3717.799475,3716.264525,3754.718325,3770.59655
3717.8039,3717.83265,3716.27965,3754.80555,3770.8485
3717.8575,3718.06485,3716.292625,3755.15795,3770.90625
3717.8775,3718.181175,3716.301,3755.1695,3771.00855
3717.931275,3718.33695,3716.304425,3755.39425,3771.1527
3717.953575,3718.4612,3716.311025,3755.691625,3771.3112
3718.0303,3718.467225,3716.318,3756.370425,3771.374625
3718.070475,3718.644025,3716.351275,3756.47435,3771.6935
3718.114625,3718.709675,3716.358,3757.0121,3771.77985
3718.176725,3718.7442,3716.39095,3757.139775,3771.894925
3718.2104,3718.84595,3716.421275,3757.395475,3771.987325
3718.25825,3719.208025,3716.441875,3757.99115,3772.053375
3718.31495,3719.570975,3716.469375,3758.215275,3772.109125
3718.3923,3719.68775,3716.4985,3758.46365,3772.17035
3718.4431,3719.739375,3716.5198,3758.676175,3772.97665
3718.5265,3720.046225,3716.52805,3758.82035,3773.82165
3718.5584,3720.148625,3716.545875,3759.2336,3773.8481
3718.61085,3720.222475,3716.56105,3759.422475,3774.5533
3718.65485,3720.5335,3716.582375,3759.50935,3776.029525
3718.6757,3720.79195,3716.592975,3759.730125,3776.36365
3718.738725,3720.8375,3716.61125,3759.859975,3776.52725
3718.885425,3720.8725,3716.645975,3760.62055,3777.7058
3718.913625,3721.037525,3716.681,3760.7026,3777.7838
3718.927275,3721.1343,3716.7861,3760.765275,3780.01935
3718.95125,3721.187175,3716.796975,3760.97505,3780.2801
3719.0844,3721.22985,3716.81145,3761.095325,3780.354675
3719.133975,3721.28445,3716.864425,3761.540175,3780.39945
