SPK_SPKC02a (inhibited),SPK_SPKC07a (inhibited),SPK_SPKC12a (no effect)
200.93865,14.79125,978.99755
200.988525,14.801625,979.024825
201.044525,14.8174,979.107825
201.058825,14.845775,979.13265
201.31725,14.86485,979.431125
201.43705,14.883225,979.593375
201.4713,14.906625,979.64925
201.50015,14.923975,979.696
201.536825,14.944125,979.89465
201.601925,14.9607,979.9505
201.613825,14.9761,979.9718
201.6169,14.994475,980.022975
201.77825,15.006675,980.066625
201.8895,15.0221,980.1369
201.936025,15.03505,980.1801
202.066525,15.05065,980.232175
202.222475,15.069975,980.28645
202.278825,15.10975,980.30785
202.32125,15.13285,983.628625
202.350175,15.144925,984.073325
202.378025,15.160375,984.12685
202.4022,15.1777,984.18375
202.452325,15.187525,984.2406
202.7839,15.208825,984.26265
202.9407,15.223625,984.3781
203.15395,15.23945,984.602525
203.45355,15.2506,984.645575
203.5202,15.26865,984.7237
203.7356,15.290225,984.8014
203.77155,15.3036,985.00095
203.9178,15.320025,985.027175
203.971175,15.335725,985.10455
204.1135,15.353875,985.15475
204.4794,15.37125,985.29065
204.66175,15.389525,985.484575
204.900725,15.4049,985.5989
205.0555,15.456325,985.83455
205.191175,15.4707,985.9063
205.27245,15.48475,985.99095
205.41035,15.5022,986.052775
205.926475,15.52115,986.224625
206.029175,15.538775,986.936375
206.160025,15.563825,987.071175
206.52985,15.583,987.101675
206.55965,15.627825,987.255475
206.62605,15.64115,987.2753
206.81015,15.65595,987.449675
206.92195,15.671575,987.73675
207.16715,15.6879,987.910975
207.22985,15.698575,987.965175
207.344225,15.716075,988.008175
207.594825,15.737225,988.12655
207.699625,15.74975,990.51535
207.741925,15.7626,990.668575
207.84515,15.79735,994.732
207.91245,15.81115,994.78935
208.033925,15.8236,994.90665
208.175575,15.836725,995.03015
208.241825,15.8473,998.6306
208.6055,15.869225,999.156475
208.73235,15.890075,999.183475
208.85425,15.904475,999.2182
209.022,15.917575,999.4854
209.1495,15.943275,999.668825
209.175375,15.956675,999.69335
209.242775,15.97545,999.7037
209.294375,15.98915,999.81145
209.384725,16.040075,999.992625
209.463325,16.055725,1000.1067
209.5914,16.070525,1000.279975
209.69205,16.0926,1000.428425
209.803675,16.111225,1000.71915
209.851325,16.1319,1000.817275
209.91175,16.157125,1000.943625
209.92495,16.179875,1001.12185
210.1341,16.19595,1001.275425
210.248475,16.206725,1001.698375
210.284775,16.225275,1007.642575
210.318475,16.242175,1010.203525
210.3453,16.2596,1010.437975
210.380675,16.310525,1010.872525
210.7161,16.32245,1010.925175
210.777575,16.3415,1011.09635
211.12425,16.358325,1011.163125
211.297725,16.376475,1011.25875
211.405825,16.39255,1011.533975
211.634,16.432375,1013.675575
211.697175,16.452575,1015.935375
211.733475,16.464075,1015.9537
212.222525,16.47305,1016.00305
212.47435,16.494625,1016.37115
212.570625,16.5096,1016.419775
212.632025,16.532825,1016.496875
212.702475,16.55155,1016.54945
213.003675,16.5626,1016.5891
213.167225,16.578875,1016.63465
213.238525,16.59665,1016.668825
213.279225,16.61625,1016.74835
213.345625,16.637375,1016.88825
213.53015,16.654225,1016.91
213.7595,16.672525,1016.9615
213.958775,16.691275,1017.12255
214.216025,16.70675,1017.246175
214.49095,16.719975,1017.355225
214.9549,16.732675,1017.39695
214.975375,16.747475,1017.4354
215.010025,16.7621,1017.4849
215.493625,16.7814,1017.584325
215.51175,16.7959,1017.71445
215.569125,16.80315,1017.815875
215.6245,16.809875,1018.070475
215.912925,16.82765,1018.2239
215.955975,16.843475,1018.288075
216.11545,16.8607,1018.309225
216.269625,16.88295,1018.409075
216.366,16.8963,1018.441575
216.4703,16.91205,1018.535075
216.58665,16.924625,1018.6967
216.7498,16.937125,1018.71315
216.92715,16.950625,1018.806425
217.026125,16.96625,1018.8598
217.47315,16.9784,1018.98895
217.8462,16.995375,1019.02605
218.2476,17.00925,1019.04715
218.31595,17.0204,1019.08415
218.3941,17.035,1019.157625
218.4617,17.060325,1019.194625
218.5712,17.082525,1019.35345
218.653725,17.103275,1019.392875
218.8996,17.123525,1019.502125
218.961675,17.15415,1019.555925
219.0839,17.17935,1019.574275
219.2194,17.19455,1019.757525
219.253275,17.208775,1019.81455
219.55335,17.24135,1026.7611
219.641625,17.271225,1026.969925
219.788675,17.282225,1027.765675
219.8299,17.296825,1028.93425
220.149375,17.311975,1029.05315
220.162,17.3255,1029.188175
220.48455,17.3479,1033.595475
221.253,17.36755,1037.570975
221.534675,17.3807,1037.718725
221.56845,17.40245,1038.1385
221.962175,17.425975,1038.2374
221.97965,17.43995,1038.4288
222.117425,17.452025,1041.64175
222.31415,17.466775,1041.722325
222.7571,17.48895,1041.92645
222.822475,17.50235,1042.11295
223.071975,17.51895,1042.180125
223.2073,17.551825,1042.4164
223.27125,17.573625,1042.461025
223.365825,17.592975,1042.497275
223.5958,17.614025,1043.1022
223.66285,17.63235,1043.14755
223.7498,17.667,1043.2975
223.809425,17.686275,1043.880725
223.9201,17.70525,1044.4373
224.04375,17.72355,1044.534025
224.370025,17.7371,1044.578475
224.4455,17.76745,1046.31935
224.481675,17.78015,1046.565675
224.507625,17.80365,1047.238325
224.983125,17.82685,1047.401725
225.195325,17.8572,1047.467075
225.24045,17.867375,1047.80425
225.3211,17.884175,1048.136775
225.45025,17.89865,1048.3646
226.19325,17.910825,1049.562925
226.375625,17.93055,1049.6566
226.40075,17.955175,1049.737525
226.80805,17.973325,1049.8362
226.83235,17.9909,1050.0733
226.913725,18.011275,1050.15615
227.13545,18.029625,1050.436775
227.1962,18.043975,1050.4558
227.423425,18.068825,1050.481725
227.4788,18.09305,1050.583125
227.690425,18.10365,1050.6545
227.873825,18.128275,1050.839125
228.0505,18.140975,1051.2575
228.2167,18.1529,1051.432725
228.289,18.17025,1052.001675
228.48165,18.186275,1054.05195
228.6188,18.20085,1054.080225
228.6866,18.211575,1054.167725
229.420775,18.221975,1054.395725
229.5101,18.235025,1054.66285
229.553325,18.250025,1056.7161
229.6174,18.266725,1065.359275
229.6384,18.2819,1065.412275
229.72355,18.28925,1065.53265
229.904475,18.302725,1065.799775
229.98875,18.322225,1065.815975
229.998275,18.333725,1065.8217
230.0004,18.3508,1065.8285
230.03635,18.374675,1065.91995
230.2258,18.3928,1066.16245
230.40465,18.421225,1066.387275
230.449325,18.435525,1066.438
230.520425,18.45045,1066.4981
230.575825,18.489875,1066.56795
230.64315,18.502,1066.693075
230.7286,18.511075,1066.92935
