SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC03b,SPK_SPKC07b,SPK_SPKC07c,SPK_SPKC12a,SPK_SPKC14c
112.8496,110.62765,106.0895,119.040425,122.647075,112.655125,104.8696
112.8737,110.649575,106.256525,119.139175,122.662975,112.684425,104.880225
112.916525,110.67385,106.27395,119.1983,122.772125,112.712625,104.890675
112.927225,110.688975,106.280925,119.23115,122.833975,112.789625,104.9046
112.9532,110.7057,106.2901,119.24365,122.848325,113.098025,104.919875
112.9636,110.72715,106.30495,119.2585,122.870875,113.193775,104.972225
112.9904,110.74815,106.312,119.2776,122.90595,113.333225,105.003225
113.165725,110.774225,106.333425,119.34535,122.9606,113.432725,105.024225
113.177525,110.7932,106.359975,119.36275,123.0927,113.449275,105.04865
113.248575,110.82085,106.3928,119.383,123.496325,113.4819,105.091275
113.30105,110.92885,106.422175,119.3957,123.693725,113.645,105.11205
113.34335,111.018975,106.4665,119.4098,124.234875,113.697125,105.1495
113.360075,111.176575,106.5631,119.4287,124.4236,113.715975,105.17485
113.3893,111.2123,106.6899,119.47105,124.82605,113.743425,105.220175
113.403775,111.2944,106.695,119.488675,124.88875,113.7548,105.243775
113.435325,111.4134,106.70985,119.537825,124.9532,113.815975,105.26715
113.5523,111.489575,106.719175,119.585125,125.1913,114.080625,105.3184
113.58825,111.5261,106.739725,119.898225,125.220925,114.199075,105.352275
113.6275,111.590225,106.7483,120.092025,125.2484,114.223875,105.37055
113.809825,111.779825,106.760225,120.149375,125.586025,114.481625,105.419775
113.845125,111.802125,106.7779,120.396,125.64815,114.605875,105.449525
113.887025,111.8681,106.7858,120.416375,125.66765,114.6509,105.49875
113.9241,111.968675,106.796175,120.699875,125.973875,114.728475,105.52555
113.989825,111.996225,106.8094,120.715575,126.004475,114.75105,105.547875
114.03415,112.066225,106.8182,121.224275,126.7497,114.896225,105.592675
114.0809,112.116825,106.90745,121.38875,126.993575,114.993075,105.6587
114.164475,112.1575,107.09755,121.471725,127.017775,114.999875,105.687975
114.2539,112.220225,107.122425,121.4768,127.2011,115.01575,105.71265
114.422725,112.2698,107.1395,121.512775,127.265425,115.048425,105.731025
114.50285,112.288775,107.152825,121.55885,127.77155,115.0541,105.7634
114.572175,112.316725,107.166925,121.57405,127.833275,115.07745,105.823775
