SPK_SPKC02a (no effect),SPK_SPKC02b (weak excitation),SPK_SPKC09a (no effect),SPK_SPKC11a (no effect)
5.50745,58.20325,19.3772,16.277475
5.533925,58.33775,19.487375,16.402175
5.5527,58.37755,19.522925,16.411825
5.561925,58.5986,19.681525,16.449975
5.583025,58.64885,19.799175,16.49565
5.59525,58.701825,19.8383,16.541625
5.6102,58.775425,19.9174,16.5588
5.63205,58.8443,19.97025,16.642425
5.64705,58.873325,20.01475,16.6472
5.6667,59.1077,20.1579,16.71495
5.692,59.322875,20.19575,16.728075
5.725725,59.3797,20.2273,16.7454
5.739825,59.5113,20.252425,16.7678
5.7485,59.992525,20.328425,16.786025
5.75735,60.0325,20.3587,16.796325
5.773025,60.08005,20.391225,16.8051
5.784025,60.55555,20.43515,16.8302
5.801875,60.6106,20.4929,16.860625
5.828525,60.654675,20.631225,16.89815
5.83715,60.661175,20.723925,16.916225
5.856475,60.6973,20.77275,16.93045
5.866725,60.81395,20.895725,16.940525
5.880525,60.887275,20.9411,17.0074
5.889375,60.890175,20.9895,17.033975
5.898275,60.900925,21.027175,17.0785
5.921625,60.95635,21.080475,17.087225
5.9334,60.9604,21.15715,17.1077
5.9584,61.158125,21.18605,17.194625
5.9745,61.239,21.2229,17.235475
6.006275,61.37995,21.24435,17.2791
6.029125,61.5116,21.3659,17.2864
6.052075,61.6528,21.442975,17.314325
6.06845,61.774225,21.500125,17.338975
6.088425,62.00055,21.513225,17.392875
6.112975,62.117975,21.581825,17.47565
6.12415,62.243875,21.711525,17.50325
6.137275,62.5875,21.757175,17.62485
6.174575,63.036875,21.8354,17.675775
6.177325,63.051825,21.9317,17.747725
6.19025,63.2176,21.973875,17.791025
6.2009,63.416575,22.016025,17.815325
6.216,63.80305,22.042475,17.838075
6.2366,63.918625,22.104125,17.866225
6.24905,64.853825,22.13445,17.9089
6.2676,65.00605,22.1772,17.91835
6.331975,65.0844,22.21955,17.925225
6.352875,65.232525,22.2418,17.967575
6.36525,65.6816,22.338775,18.0045
6.376575,65.68835,22.4388,18.074075
6.390625,65.742075,22.464225,18.08985
6.423925,65.847425,22.49255,18.108475
6.435125,66.14425,22.5223,18.149
6.455975,66.547,22.5765,18.1709
6.4869,66.9549,22.601425,18.182575
6.50835,67.082425,22.632525,18.200275
6.5553,67.475025,22.716175,18.2727
6.5644,67.744575,22.749025,18.309525
6.57495,67.870175,22.802625,18.318425
6.5891,67.9569,22.825675,18.33505
6.614525,68.51145,22.8448,18.372725
6.630125,68.5592,22.88315,18.4102
6.643125,68.602125,22.89135,18.42595
6.661975,68.64,22.922275,18.45895
6.6937,68.6909,22.9637,18.50345
6.7151,69.254925,22.998575,18.53625
6.733825,69.59225,23.068175,18.613475
6.758375,69.691,23.1583,18.67945
6.78095,70.1601,23.1958,18.688575
6.819475,70.19955,23.222925,18.78025
6.828475,70.21305,23.2649,18.812775
6.83145,70.252275,23.298625,18.81975
6.86175,70.360275,23.332225,18.834025
6.881675,70.393525,23.3615,18.84855
6.89475,70.57685,23.41405,18.859
6.91545,70.8791,23.42065,18.87815
6.922575,71.207775,23.52175,18.906525
6.9317,71.340525,23.570275,18.975725
6.949925,71.40805,23.707125,18.984
6.956025,71.4917,23.739575,19.068425
6.963975,71.5041,23.7964,19.12855
6.980375,71.65385,23.823025,19.1824
6.98805,71.6829,24.006725,19.23185
7.00645,71.73665,24.037325,19.2902
7.01725,71.75595,24.16215,19.40575
7.0282,71.844775,24.214175,19.4987
7.0383,71.990725,24.2379,19.5215
7.073825,72.06005,24.270025,19.53565
7.08175,72.2611,24.2934,19.57075
7.11625,72.500575,24.34485,19.586425
7.144825,72.584075,24.370975,19.609775
7.160275,72.624175,24.471225,19.633425
7.171825,73.129125,24.473775,19.673675
7.194175,73.381725,24.497675,19.68155
7.22085,73.5041,24.53795,19.6884
7.24315,73.658175,24.59705,19.73135
7.2599,73.7072,24.701525,19.846375
7.277525,73.74575,24.75235,19.87585
7.302225,73.786275,24.771725,19.882675
7.317925,73.85125,24.98335,19.925175
7.3271,74.066175,25.02005,19.97745
7.33735,74.20055,25.055025,19.995825
7.360025,74.20405,25.10095,20.02505
7.372675,74.433175,25.18265,20.045625
7.3828,74.524775,25.283525,20.0852
7.4116,74.9315,25.374825,20.12565
7.440925,74.944725,25.431275,20.1489
7.453875,75.216325,25.465875,20.1648
7.4755,75.449325,25.520275,20.1736
7.4862,75.539325,25.605675,20.242475
7.4976,75.5822,25.6678,20.255475
7.52015,76.55305,25.707325,20.30885
7.542875,77.315775,25.752225,20.3764
7.5554,77.34105,25.83775,20.509725
7.5687,77.45595,25.978675,20.54135
7.590375,77.586475,26.0451,20.5633
7.6027,77.6932,26.085825,20.576075
7.62095,77.8457,26.1371,20.60485
7.636925,77.848775,26.247,20.656125
7.656375,77.915425,26.28185,20.743525
7.671625,78.499075,26.4031,20.760125
7.694375,78.599325,26.44015,20.860025
7.708825,78.69515,26.472125,20.8808
7.723675,78.790825,26.5113,20.8946
7.73445,78.866975,26.5656,21.04865
7.746,78.972475,26.59785,21.148175
7.771925,79.20015,26.63785,21.213275
7.784075,79.358625,26.6682,21.322925
7.80075,79.442675,26.797375,21.335
7.808125,79.657475,26.85405,21.349175
7.8209,79.7704,26.89085,21.36655
7.835575,79.852625,26.924825,21.43025
7.857725,79.85825,26.99865,21.495625
7.86985,80.068725,27.16005,21.519
7.8801,80.235725,27.260525,21.536675
7.89805,80.48865,27.276325,21.58875
7.91185,80.49885,27.3292,21.6053
7.94065,80.786375,27.357575,21.67665
7.947675,80.899475,27.3792,21.693575
7.972925,81.147475,27.471,21.784375
7.984925,81.1496,27.503525,21.795375
7.99885,81.231125,27.524875,21.8079
8.00495,81.529075,27.572925,21.8259
8.032125,81.7048,27.62005,21.833175
8.065275,81.787725,27.6466,21.89875
8.078225,81.86315,27.681925,21.928175
8.103875,82.192675,27.716275,21.9515
8.114875,82.26425,27.80485,21.999075
