SPK_SPKC04a (artefact),SPK_SPKC13a (artefact)
135.67815,115.920525
135.924625,115.9962
135.9858,116.30015
136.2126,116.326175
136.504625,116.3593
136.6638,116.4493
136.839525,116.484025
136.894575,116.579525
137.02315,116.6402
137.0898,116.676925
137.15835,116.721725
137.257,116.7917
137.6673,116.83275
137.738275,116.904925
137.9901,116.936575
138.08075,116.97595
138.2303,117.0188
138.315325,117.05875
138.459625,117.11185
138.52925,117.16835
138.617975,117.391175
138.753025,117.416375
138.82445,117.892375
139.06645,117.9984
139.164125,118.12575
139.2275,118.18085
139.307525,118.2256
139.353775,118.5904
139.41265,118.63655
139.476725,118.655475
139.55185,118.703775
139.830675,118.775075
139.965025,118.912225
140.03595,118.96775
140.176625,119.029925
140.377325,119.0794
140.5203,119.1708
140.768575,119.23135
140.82885,119.2912
140.877225,119.471175
140.95235,119.5174
141.025475,119.556275
141.113225,119.604675
141.163975,119.645225
141.253075,119.683875
141.3774,119.712575
141.540525,119.850175
141.7285,119.94125
141.812925,120.016025
141.882625,120.050775
141.9222,120.069425
142.014275,120.134725
142.2109,120.168925
142.309975,120.210325
142.621525,120.2577
142.743675,120.333625
142.79995,120.463225
142.9241,120.510675
143.508075,120.532225
144.134325,120.5596
144.180175,120.606775
144.2551,120.6626
144.31765,120.8974
144.53095,120.9455
144.62745,120.995825
144.73765,121.05235
145.03555,121.1186
145.079725,121.186225
145.17865,121.277875
145.237075,121.325725
145.325775,121.377025
145.399825,121.44615
145.471575,121.503625
145.648675,121.56305
145.69225,121.5983
145.839225,121.629575
145.92375,121.685475
145.954125,121.73905
146.032625,121.76895
146.10525,121.802025
146.182625,121.862525
146.212575,121.91765
146.2967,121.955525
146.328025,121.9807
146.37995,122.0268
146.427,122.135875
146.525,122.2303
146.63565,122.333575
146.684775,122.3789
146.701575,122.417575
146.738025,122.46045
