SPK_SPKC02a (excited),SPK_SPKC04a (inhibited),SPK_SPKC08a (inhibited),SPK_SPKC16a (short inhibition)
248.6448,7.8112,64.042125,4.953525
250.46265,7.826025,64.102625,4.958125
250.48355,7.844525,64.442625,4.967875
250.898175,7.857375,64.4536,4.97455
251.060675,7.881825,64.60405,4.99515
251.779575,7.896275,64.62475,4.999775
251.810025,7.9132,64.6627,5.01145
252.762825,7.93255,64.852725,5.01755
253.579625,7.94595,64.9101,5.024075
253.59245,7.962175,64.95245,5.029475
253.746575,7.980925,65.1019,5.032825
254.4541,8.002525,65.24095,5.0355
254.510125,8.0276,65.348875,5.03855
255.64495,8.047125,65.3611,5.0419
255.7831,8.062575,65.3876,5.04615
256.233125,8.080075,65.4019,5.049
256.974375,8.091075,65.8462,5.05175
257.94235,8.11095,65.939725,5.05445
258.054825,8.13845,65.97155,5.0594
258.291825,8.161975,66.200425,5.06215
259.239425,8.1849,66.269375,5.0644
261.1242,8.2078,66.47265,5.067375
261.816475,8.222,66.50595,5.07055
262.190825,8.236725,66.558275,5.0732
263.1756,8.2567,66.592825,5.077925
264.49865,8.282675,66.9372,5.080225
264.991975,8.2963,66.976075,5.087675
265.5449,8.315475,67.06005,5.089875
265.650275,8.34165,67.361425,5.092
265.8775,8.3698,67.43825,5.094525
267.1596,8.38625,67.58395,5.100175
267.7641,8.41075,67.808825,5.1028
268.018525,8.425225,67.922875,5.1068
269.507675,8.4472,68.031,5.109375
269.947525,8.465775,68.14365,5.113175
270.415375,8.4763,68.205475,5.1178
270.4499,8.510175,68.4246,5.121
270.49665,8.528,68.73175,5.1237
270.596775,8.555975,69.0022,5.12665
271.660225,8.591,69.421875,5.128875
272.13135,8.605325,69.606925,5.131525
272.9341,8.619675,69.636975,5.141725
273.95885,8.640075,69.705425,5.144125
274.09275,8.6572,70.7846,5.148225
274.598275,8.6855,70.8186,5.1528
274.923075,8.699275,70.941825,5.159
275.062875,8.724325,71.222475,5.169325
276.288975,8.749925,71.329325,5.17595
276.57965,8.77105,71.3847,5.1791
276.618075,8.795675,71.57095,5.181875
276.76185,8.818825,71.841825,5.186225
276.9459,8.830625,72.077375,5.19065
279.552625,8.841225,72.09055,5.19505
279.863775,8.848175,72.177075,5.202975
280.4069,8.861225,72.585775,5.213675
280.821275,8.87265,72.6506,5.219575
281.22065,8.883525,72.7417,5.23195
281.473325,8.91395,72.88745,5.23675
282.87585,8.94075,73.030275,5.24665
283.292625,8.9648,73.033475,5.25705
284.8586,8.979775,73.06725,5.267475
285.38545,9.001875,73.098225,5.278125
285.795925,9.0202,73.7395,5.285375
285.980025,9.036325,73.849725,5.289225
285.9832,9.06835,74.0757,5.304
286.081925,9.1003,74.44275,5.30945
286.749225,9.1296,74.450675,5.3189
286.991925,9.1509,74.5759,5.323625
287.04825,9.17645,74.6405,5.328025
287.07705,9.1905,74.69305,5.3383
287.1576,9.212525,74.73225,5.34195
287.474325,9.232625,74.967725,5.366925
287.615,9.2473,74.9961,5.37795
287.679275,9.272875,75.59615,5.3817
288.11675,9.29125,75.63165,5.424625
288.667925,9.31135,75.95965,5.43115
289.0451,9.32845,76.0958,5.453475
289.982425,9.35405,76.318625,5.47015
290.57405,9.3719,76.47225,5.483225
291.32075,9.402375,76.4991,5.4909
291.461875,9.421825,76.692225,5.49795
291.80285,9.4428,76.7011,5.507175
292.582475,9.46305,76.91885,5.5168
293.1831,9.488625,77.158075,5.5234
294.427475,9.502775,77.20675,5.529625
295.0938,9.515675,77.38115,5.537
295.13785,9.526025,77.41,5.54225
295.46205,9.533875,77.436075,5.546275
296.39665,9.542925,77.506225,5.551125
297.149475,9.55295,77.627875,5.558775
297.1595,9.561625,77.635525,5.56665
297.2243,9.571225,77.652425,5.5898
297.371425,9.59035,77.666925,5.6307
298.429,9.6079,77.855975,5.682475
298.5285,9.619575,77.91375,5.73495
298.8629,9.6358,77.934125,5.760025
298.910325,9.649875,77.9988,5.772275
299.3383,9.67005,78.2552,5.7783
299.540675,9.68925,78.461575,5.788275
299.599925,9.70365,78.52175,5.791525
299.67975,9.718875,78.760825,5.79915
299.834225,9.742675,78.81295,5.8028
299.982925,9.756675,79.06685,5.806125
300.434125,9.768775,79.113175,5.80925
300.494075,9.78575,79.1362,5.812125
,9.820675,79.5179,5.815125
,9.841075,79.774325,5.8176
,9.866675,79.9449,5.820225
,9.885425,80.066375,5.826225
,9.90315,80.281625,5.82865
,9.91765,80.2887,5.83105
,9.932725,80.343825,5.83335
,9.948925,80.4205,5.838575
,9.960825,80.8422,5.842925
,9.969775,81.183725,5.847925
,9.978425,81.413975,5.85095
,9.994225,82.1392,5.8544
,10.01055,82.1681,5.862225
,10.020375,82.245425,5.878125
,10.039475,82.434275,5.884825
,10.05545,82.48655,5.88905
,10.07185,82.5167,5.8929
,10.087325,82.564225,5.904725
,10.115275,82.689025,5.9086
,10.134325,82.863325,5.9127
,10.1512,83.006625,5.938975
,10.1716,83.08025,5.98235
,10.191825,83.3095,6.030425
,10.21215,83.4672,6.080225
,10.229425,83.708325,6.1247
,10.245225,83.8892,6.1438
,10.261025,83.953125,6.15665
,10.27625,84.0069,6.18605
,10.287075,84.07385,6.203575
,10.299575,84.087925,6.213125
,10.317025,84.275575,6.217675
,10.328,84.333925,6.22185
,10.339275,84.351,6.224975
,10.354675,84.36565,6.23285
,10.364825,84.467025,6.235775
,10.382025,84.83795,6.24155
,10.405575,84.992075,6.245725
,10.418975,85.03895,6.250275
,10.4343,85.2814,6.260075
,10.45185,85.425875,6.264175
,10.467775,85.5623,6.267925
