SPK_SPKC06c,SPK_SPKC08a,700.008825,SPK_SPKC11a,SPK_SPKC12a,SPK_SPKC12b,SPK_SPKC15b
709.514725,864.8918,825.544525,705.334275,706.275075,724.0263,705.505475
709.687575,864.901525,825.9884,705.3577,706.291875,724.038225,705.5414
709.70195,865.107875,829.04835,705.38655,706.3036,724.167075,705.560175
709.729825,865.11,831.751475,705.450075,706.3152,724.23785,705.58465
709.751825,865.11495,831.942675,705.491975,706.327125,724.3258,705.613525
709.82695,865.1306,833.97985,705.542575,706.341525,724.420575,705.63075
709.845475,866.49145,834.031025,705.61285,706.36555,724.553325,705.64225
709.9152,866.5463,834.0439,705.636725,706.38785,724.607375,705.669
709.9922,866.825175,834.05575,705.661725,706.409,724.6184,705.695325
710.03905,868.061075,834.650925,705.67505,706.4271,724.6891,705.726875
710.05415,868.35815,835.53225,705.692875,706.4448,724.70085,705.773125
710.1279,868.364675,839.174775,705.833175,706.460375,724.757575,705.81
710.158075,869.2864,840.03245,705.91005,706.4757,724.879075,705.812325
710.207475,869.908675,841.81535,705.929175,706.4956,724.943425,705.855925
710.22705,870.185275,843.886825,705.9398,706.515425,725.4324,705.8771
710.260575,870.9121,844.374275,705.9589,706.539725,725.5885,705.88605
710.44635,870.95015,845.44365,705.976975,706.569675,725.6183,705.903025
710.464425,871.248875,846.432,705.989975,706.59825,725.827975,705.996325
710.508425,871.344025,846.754575,706.001725,706.6254,725.984325,706.014275
710.54735,871.425725,849.312975,706.010575,706.6448,726.657375,706.0591
710.56005,871.556525,849.491725,706.02405,706.6648,726.67045,706.07805
710.6475,871.62305,850.738675,706.046275,706.6805,726.713525,706.100775
710.69585,873.98695,850.75295,706.065525,706.7074,726.81765,706.12235
710.706425,874.068325,850.995425,706.09575,706.72935,726.8744,706.137825
710.7236,874.8276,852.035425,706.138225,706.7486,726.8839,706.16975
710.747475,875.6231,852.424475,706.17025,706.768975,727.2123,706.187625
710.761825,878.181025,853.02665,706.187425,706.79265,727.293675,706.200925
710.805125,880.234475,855.30665,706.220425,706.815875,727.310575,706.239925
710.815525,880.39525,855.797325,706.244875,706.846475,727.39335,706.249925
710.8423,880.66325,855.886775,706.2647,706.8613,727.43615,706.2577
710.902325,881.1537,856.462925,706.275075,706.876375,727.634225,706.27965
710.9223,881.35315,856.70975,706.29185,706.894225,727.6791,706.282375
710.953125,881.765225,856.8161,706.303575,706.91765,727.69295,706.3038
710.96615,882.49975,856.8593,706.315175,706.940775,727.806375,706.3199
711.188825,882.508275,856.871875,706.327125,706.98315,727.904575,706.3475
711.21365,882.836825,856.950225,706.3415,707.00065,727.973025,706.37805
711.257075,882.84555,857.256275,706.36555,707.013975,728.3472,706.429825
711.273525,883.1477,858.050825,706.38785,707.03385,728.3915,706.45375
711.318325,883.99975,859.1573,706.409,707.0566,728.405975,706.480325
711.35465,884.081275,859.908725,706.427075,707.078375,728.553575,706.49675
711.488625,884.855825,860.141975,706.4448,707.098925,728.7006,706.51965
711.570275,884.950225,860.412375,706.46035,707.11335,728.743725,706.5395
711.618775,886.40875,862.9636,706.4757,707.145375,728.80815,706.5622
711.6418,887.7915,862.995325,706.4956,707.1751,729.151975,706.586025
711.665175,889.208525,863.163225,706.515425,707.204875,729.330975,706.609025
711.7084,889.78575,864.353775,706.53975,707.2332,729.4984,706.63295
711.82065,890.4194,864.5138,706.569675,707.252575,729.531675,706.6847
711.861075,890.6531,865.203525,706.598225,707.30125,729.5484,706.7215
711.907125,894.880575,866.8027,706.6254,707.3178,729.587575,706.758325
711.93355,895.970925,867.02515,706.644775,707.340075,729.986275,706.7943
711.958725,896.376,867.0992,706.6648,707.363125,730.277375,706.81265
711.9894,896.433375,867.11595,706.6805,707.394225,730.799325,706.840575
712.0096,897.93855,867.418525,706.69805,707.42315,730.87845,706.858525
712.031025,900.8555,868.09955,706.7074,707.4317,730.9014,706.872775
712.10315,901.1442,868.210475,706.72935,707.459925,731.075925,706.89405
712.154775,901.7923,869.79925,706.7486,707.4916,731.1095,706.90195
712.15755,904.365325,870.52565,706.76895,707.527025,731.1716,706.923475
