SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06b,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC14a
105.61045,23.86215,64.10075,68.204575,11.703575,,3.057025,16.1426
105.69025,23.86885,65.0559,68.487425,11.707675,,3.073675,16.148775
105.6935,23.9256,65.111525,69.4196,11.715775,,3.0894,16.154275
105.956175,24.07775,65.263775,69.546175,11.73145,,3.116575,16.179925
106.2721,24.167375,65.319775,69.617825,11.834775,,3.198225,16.190175
106.925075,24.323525,65.460025,69.693575,11.877175,,3.254425,16.211575
107.20565,24.49035,65.559975,70.45015,11.904875,,3.279575,16.22195
107.24225,24.910375,65.589975,70.60545,11.95465,,3.292475,16.67655
107.951525,24.94335,66.07565,70.687875,11.972325,,3.302775,16.947075
108.17035,25.013275,66.1922,71.096975,12.02895,,3.30965,17.05785
108.821675,25.060975,66.37405,71.12755,12.0867,,3.3182,17.3674
109.46265,25.89215,66.585675,72.275275,12.090625,,3.3489,17.386525
110.588225,25.8993,66.887525,72.486725,12.22615,,3.357075,17.624075
111.156125,25.9226,67.310725,73.2823,12.4223,,3.364175,17.866175
111.353575,25.93805,67.857125,73.334025,12.507425,,3.3742,17.916325
111.5664,26.495325,67.900525,73.475975,12.577875,,3.385575,17.965775
112.302925,26.6215,68.3672,73.75725,12.747525,,3.4085,18.04095
113.44455,26.903775,68.41465,73.962275,12.763925,,3.422825,18.097375
113.583925,26.95865,68.470175,74.0255,12.93485,,3.43905,18.471475
114.84055,27.2488,68.968375,74.207625,13.090975,,3.44785,18.4966
115.382825,27.266275,69.3829,74.379075,13.133225,,3.478075,18.5815
116.03445,27.324025,69.593725,74.9533,13.166775,,3.499225,18.717975
116.167575,27.3983,69.7317,75.39075,13.17755,,3.57435,18.7246
116.489725,27.415275,70.165725,75.434625,13.18625,,3.63365,18.96275
116.7179,27.4453,70.54165,75.495175,13.196925,,3.66335,19.062575
116.8446,27.513225,70.721975,75.531125,13.2072,,3.6839,19.1316
117.9598,27.603075,70.918,75.60985,13.240675,,3.694425,19.1543
118.03675,27.635025,71.0131,75.8188,13.27155,,3.70135,19.503575
118.09775,27.7187,71.217925,75.95505,13.3225,,3.720275,19.920775
118.6925,27.763625,71.32365,76.0025,13.4173,,3.733925,19.96905
119.209625,27.772775,71.441575,76.202275,13.4838,,3.7453,19.9961
119.267825,27.78405,71.5166,76.21145,13.533125,,3.7609,20.060525
119.9848,27.806975,71.56765,76.74905,13.6986,,3.774525,20.088675
120.065525,27.870425,72.03335,77.063275,13.72705,,3.795075,20.2777
120.107875,27.9599,73.832525,77.145525,13.753925,,3.814225,20.361275
120.15695,28.3189,74.03975,77.384675,13.842375,,3.835,20.410525
120.19485,28.355925,74.06835,77.537475,13.8648,,3.871625,20.417175
120.674375,28.42085,74.15435,77.807975,13.979325,,3.900375,20.431825
120.951175,28.4392,74.7829,77.998975,14.00975,,3.9307,20.85995
121.1759,28.56105,75.057925,78.422325,14.037125,,3.94325,20.88985
121.3226,28.57305,75.565075,78.491825,14.1037,,3.9612,20.9507
121.77895,28.79155,75.701175,78.62755,14.371375,,3.9986,20.984625
122.005225,28.87515,75.956125,78.8939,14.411825,,4.01,21.1976
122.197725,28.87965,76.498,79.95395,14.479825,,4.016025,21.357925
124.587575,28.8905,76.766425,80.092,14.57335,,4.02865,21.486375
124.731825,28.975975,76.919075,80.427925,14.65325,,4.03805,21.522275
125.2426,29.071125,76.9686,80.739625,14.67925,,4.046775,21.598975
125.577225,29.273775,77.05755,80.8227,14.70725,,4.058675,21.6148
126.51125,29.294075,77.388775,81.088625,14.989725,,4.08195,21.68185
126.613575,29.46495,77.526175,81.264225,15.1175,,4.1018,22.007
126.998425,29.502775,78.368375,81.3305,15.252025,,4.13245,22.046275
127.088125,29.509075,79.5658,81.934175,15.351075,,4.1638,22.083925
127.21255,29.551,79.90215,82.278025,15.46445,,4.1912,22.204925
128.856825,29.59265,79.98805,82.859725,15.468525,,4.313575,22.4808
128.9535,29.611275,80.703325,82.930775,15.48505,,4.338825,22.561275
129.0951,29.627,80.9054,83.51655,15.5301,,4.349475,22.57015
129.5383,29.764775,81.32515,83.919325,15.632375,,4.3568,22.6343
129.629525,29.786325,81.440325,83.98685,15.74665,,4.367825,22.723425
130.5291,29.82725,82.57175,84.0442,15.7888,,4.374875,22.80335
130.6079,29.830175,83.26475,84.3146,15.816575,,4.382725,23.1
132.211875,29.93955,83.610325,84.8508,15.828525,,4.38975,23.38655
132.22595,30.029825,84.04685,85.1442,15.8879,,4.399675,23.40595
132.3091,30.085875,84.73975,85.42615,15.989075,,4.40695,23.56795
133.023075,30.107325,85.18305,85.5555,16.2057,,4.421575,23.6332
133.049475,30.1159,85.4174,85.633425,16.219025,,4.428875,23.776275
133.2893,30.2515,85.465975,85.7669,16.3012,,4.442775,24.015425
133.573575,30.3545,85.561425,85.8293,16.367975,,4.453825,24.09655
133.587075,30.36155,85.885775,85.88365,16.46295,,4.467775,24.2078
134.36505,30.50495,85.998425,85.9072,16.480975,,4.479125,24.248675
134.6199,30.523025,86.20115,85.96855,16.558275,,4.4868,24.2574
134.733875,30.543,86.312775,86.101775,16.5999,,4.49705,24.26515
135.336625,30.65555,86.5564,86.12995,16.826775,,4.5071,24.351525
135.703625,30.911725,87.43475,86.18685,16.833025,,4.513975,24.6945
136.9884,30.9321,87.482775,86.209475,16.837875,,4.522775,24.71235
137.5459,31.10145,87.528775,86.2391,16.84545,,4.53195,24.73235
138.32665,31.241975,87.716275,86.2636,16.886375,,4.546025,24.737475
138.784025,31.429425,88.112225,86.32715,16.90555,,4.555975,24.74345
139.4368,31.452025,88.78645,86.3573,17.010375,,4.56955,24.765425
139.772225,31.45885,89.1281,86.558425,17.178425,,4.584525,24.77065
140.492975,31.5638,89.512425,86.59175,17.338625,,4.600675,24.86285
142.0152,31.65565,90.18285,86.652025,17.37605,,4.6233,24.878925
142.28095,31.68235,90.26025,86.6988,17.405975,,4.6458,25.072675
142.308625,31.710625,90.62285,86.721175,17.51245,,4.6815,25.29575
142.7541,31.735025,90.900825,87.03455,17.553725,,4.69785,25.373075
142.953675,31.96345,91.203375,87.0409,17.7067,,4.7196,25.388
143.541975,31.97985,91.563775,87.260775,17.787075,,4.7646,25.456675
144.345075,32.04735,91.60925,87.36225,17.81075,,4.79895,25.477325
144.4844,32.168,91.786875,87.754975,17.83755,,4.80975,25.832925
144.567075,32.3556,91.9134,88.46845,17.898225,,4.824575,25.839475
144.6304,32.368325,92.15835,88.885825,17.96995,,4.8317,25.8492
144.81725,32.39785,93.0492,88.969275,18.054675,,4.837875,25.866775
145.168425,32.430175,93.1013,89.05745,18.168575,,4.8503,26.709325
145.254775,32.579525,93.232975,89.81205,18.372425,,4.856075,26.71935
145.9868,32.59675,93.26695,90.0891,18.44395,,4.863,26.81725
148.79295,32.625975,94.7606,90.47355,18.544725,,4.8692,26.873575
