SPK_SPKC01a,SPK_SPKC09a,SPK_SPKC09b
82.858725,97.30365,124.2394
82.887125,97.3541,124.657625
82.94915,97.431825,124.69965
82.991275,97.549225,124.773425
83.060125,97.6017,124.809225
83.129475,97.83255,124.97635
83.20725,97.95755,125.03875
83.297475,97.979975,125.1667
83.336325,98.038725,125.192275
83.3901,99.186,125.23015
83.41905,99.202075,125.312275
83.470975,99.219325,125.386
83.505475,99.2471,125.695125
83.545475,99.2889,125.785325
83.5714,99.376925,126.003775
83.62785,99.474,126.112975
83.667625,99.51075,126.176825
83.693925,99.5761,126.54235
83.74515,99.9308,126.70905
83.8043,100.10205,126.939825
83.8393,100.13505,127.418225
83.918175,100.1769,127.6002
83.995675,100.3171,127.71585
84.080975,100.351075,128.028925
84.195575,100.385025,128.17605
84.676175,100.4332,128.329
85.78525,100.51455,128.337375
85.8278,100.5999,128.377925
85.864525,100.689825,128.503425
85.895025,100.998025,128.577675
85.918475,101.0809,128.8053
85.9519,103.41125,128.8465
85.9766,103.44645,128.899075
86.01695,103.471125,129.44725
86.043225,103.498375,129.50115
86.080225,103.52165,129.6715
86.111425,103.53735,129.772025
86.163,103.551475,129.820775
86.199325,103.564025,129.93235
86.24335,103.5952,130.07045
86.269025,103.60785,130.1292
86.30835,103.620025,130.23
86.344675,103.632175,130.747225
86.40885,103.686475,130.935825
86.4421,103.715775,131.041725
86.467075,103.76525,131.42725
86.510875,103.80305,131.768725
86.5909,103.8562,131.794975
86.6373,103.884625,131.83115
86.870025,103.939175,131.862425
86.957275,103.961625,131.887325
86.9796,104.071975,131.9266
87.025625,104.165525,132.0787
87.131075,104.22095,132.12075
87.23075,104.28235,132.181125
87.260075,104.32965,132.60535
88.00805,104.4796,132.705025
88.101575,104.52815,134.392625
88.198525,104.617225,134.53
88.266325,104.63995,134.736625
88.4045,104.718375,134.85035
88.540125,105.11565,134.880375
88.60895,106.7368,135.092225
88.730775,107.02665,135.121925
89.944425,107.091025,135.292725
90.048925,107.24755,135.529075
90.0835,107.332775,135.780875
90.128475,107.39425,136.4224
90.149,107.62,136.67705
90.202875,108.01965,136.747825
90.247125,108.3586,137.1522
90.2755,108.466025,137.674775
90.297925,108.481125,138.543025
90.35605,108.518475,139.00535
90.397,108.542775,139.144625
90.421725,108.65615,139.148725
90.4578,108.8508,139.273725
90.4918,108.907775,139.421875
90.516375,108.9727,139.661975
90.55815,109.054075,139.8529
90.584225,109.12415,139.99925
90.6115,109.254375,140.117825
90.6531,109.43955,140.24415
90.711525,109.4932,140.452
90.744275,109.5616,140.76345
90.7869,109.68155,141.3502
90.86805,111.05205,141.40385
